index,class
1,2
2,2
3,4
4,4
5,4
6,5
7,5
8,5
9,3
10,1
11,3
12,1
13,3
14,3
15,1
16,3
17,6
18,6
19,6
20,1
21,2
22,1
23,1
24,4
25,4
26,4
27,2
28,6
29,6
30,6
31,1
32,1
33,6
34,6
35,6
36,2
37,3
38,2
39,3
40,3
41,2
42,2
43,2
44,2
45,1
46,2
47,3
48,6
49,6
50,6
51,1
52,2
53,3
54,1
55,4
56,4
57,4
58,5
59,5
60,5
61,3
62,1
63,1
64,1
65,3
66,2
67,2
68,4
69,4
70,4
71,2
72,3
73,1
74,5
75,5
76,5
77,5
78,5
79,5
80,4
81,4
82,4
83,3
84,3
85,6
86,6
87,6
88,6
89,6
90,6
91,1
92,3
93,4
94,4
95,4
96,1
97,2
98,1
99,1
100,2
101,5
102,5
103,5
104,3
105,3
106,3
107,3
108,5
109,5
110,5
111,3
112,2
113,2
114,3
115,5
116,5
117,5
118,1
119,3
120,1
121,3
122,3
123,1
124,1
125,2
126,3
127,2
128,4
129,4
130,4
131,4
132,4
133,4
134,1
135,3
136,3
137,1
138,3
139,2
140,3
141,1
142,1
143,1
144,6
145,6
146,6
147,5
148,5
149,5
150,2
151,2
152,2
153,3
154,4
155,4
156,4
157,1
158,2
159,1
160,2
161,1
162,3
163,1
164,3
165,2
166,1
167,2
168,3
169,5
170,5
171,5
172,1
173,1
174,5
175,5
176,5
177,6
178,6
179,6
180,2
181,4
182,4
183,4
184,1
185,1
186,2
187,5
188,5
189,5
190,3
191,3
192,5
193,5
194,5
195,3
196,1
197,5
198,5
199,5
200,6
201,6
202,6
203,2
204,3
205,2
206,3
207,1
208,4
209,4
210,4
211,2
212,3
213,1
214,2
215,3
216,2
217,1
218,1
219,6
220,6
221,6
222,5
223,5
224,5
225,1
226,5
227,5
228,5
229,2
230,3
231,3
232,1
233,3
234,4
235,4
236,4
237,3
238,4
239,4
240,4
241,1
242,1
243,2
244,4
245,4
246,4
247,5
248,5
249,5
250,4
251,4
252,4
253,1
254,2
255,3
256,3
257,2
258,2
259,1
260,6
261,6
262,6
263,1
264,2
265,1
266,5
267,5
268,5
