index,class
1,2
2,3
3,6
4,5
5,2
6,2
7,6
8,3
9,3
10,1
11,2
12,3
13,4
14,2
15,2
16,1
17,2
18,1
19,3
20,3
21,3
22,6
23,2
24,3
25,2
26,3
27,3
28,2
29,6
30,1
31,3
32,1
33,3
34,3
35,1
36,1
37,1
38,2
39,5
40,5
41,1
42,2
43,5
44,3
45,6
46,3
47,2
48,2
49,3
50,3
51,3
52,3
53,1
54,2
55,2
56,1
57,1
58,1
59,2
60,2
61,3
62,5
63,3
64,2
65,3
66,2
67,4
68,4
69,1
70,2
71,2
72,2
73,2
74,4
75,3
76,2
77,1
78,3
79,1
80,2
81,3
82,2
83,1
84,1
85,2
86,2
87,2
88,2
89,6
90,3
91,1
92,6
93,1
94,3
95,1
96,1
97,1
98,2
99,3
100,1
101,2
102,4
103,6
104,6
105,3
106,3
107,3
108,3
109,3
110,6
111,3
112,3
113,3
114,1
115,5
116,1
117,1
118,5
119,2
120,3
121,3
122,1
123,5
124,1
125,1
126,1
127,2
128,5
129,3
130,1
131,3
132,3
133,1
134,3
135,1
136,3
137,4
138,6
139,1
140,1
141,3
142,5
143,2
144,3
145,1
146,5
147,1
148,3
149,1
150,1
151,1
152,3
153,3
154,3
155,2
156,2
157,2
158,2
159,1
160,1
161,2
162,3
163,1
164,3
165,1
166,3
167,6
168,2
169,1
170,1
171,1
172,1
173,6
174,1
175,3
176,2
177,2
178,2
179,2
180,3
181,3
182,3
183,2
184,1
185,3
186,1
187,1
188,1
189,2
190,1
191,1
192,3
193,2
194,5
195,2
196,1
197,2
198,3
199,1
200,3
201,2
202,6
203,1
204,4
205,4
206,3
207,6
208,4
209,1
210,6
211,1
212,6
213,1
214,3
215,2
216,3
217,4
218,3
219,3
220,6
221,3
222,3
223,1
224,3
225,6
226,1
227,3
228,3
229,3
230,3
231,2
232,1
233,2
234,1
235,2
236,3
237,2
238,1
239,1
240,1
241,1
242,2
243,3
244,1
245,2
246,1
247,1
248,1
249,3
250,1
251,3
252,1
253,1
254,4
255,1
256,1
257,2
258,3
259,2
260,3
261,1
262,1
263,1
264,3
265,1
266,3
267,6
268,2
269,6
270,2
271,3
272,3
273,1
274,3
275,2
276,3
277,3
278,3
279,3
280,1
281,2
282,5
283,2
284,6
285,3
286,2
287,3
288,1
289,1
290,2
291,5
292,2
293,2
294,2
295,1
296,3
297,3
298,4
299,5
300,3
301,2
302,5
303,3
304,4
305,1
306,2
307,1
308,3
309,5
310,3
311,1
312,5
313,1
314,2
315,3
316,1
317,2
318,2
319,1
320,5
321,3
322,3
323,1
324,3
325,1
326,3
327,3
328,4
329,2
330,2
331,3
332,3
333,1
334,2
335,3
336,3
337,2
338,1
339,1
340,2
341,3
342,2
343,2
344,5
345,6
346,1
347,2
348,3
349,1
350,3
351,2
352,2
353,2
354,3
355,1
356,1
357,5
358,5
359,1
360,3
361,3
362,4
363,3
364,1
365,3
366,1
367,1
368,2
369,2
370,3
371,2
372,3
373,5
374,1
375,2
376,1
377,1
378,5
379,3
380,2
381,1
382,3
383,2
384,6
385,2
386,3
387,2
388,1
389,3
390,3
391,4
392,2
393,2
394,3
395,2
396,4
397,2
398,4
399,2
400,2
401,3
402,2
403,2
404,3
405,1
406,5
407,6
408,5
409,1
410,1
411,3
412,6
413,1
414,3
415,1
416,1
417,3
418,3
419,1
420,3
421,1
422,5
423,2
424,3
425,1
426,2
427,6
428,1
429,5
430,1
431,1
432,2
433,3
434,4
435,1
436,2
437,1
438,4
439,4
440,2
441,3
442,3
443,1
444,2
445,4
446,1
447,1
448,2
449,3
450,2
451,1
452,2
453,1
454,3
455,4
456,6
457,3
458,1
459,5
460,2
461,2
462,3
463,1
464,3
465,2
466,1
467,5
468,3
469,3
470,3
471,2
472,1
473,1
474,5
475,2
476,3
477,3
478,3
479,3
480,3
481,3
482,1
483,3
484,5
485,2
486,3
487,5
488,3
489,5
490,3
491,2
492,2
493,1
494,2
495,1
496,3
497,2
498,3
499,6
500,1
501,6
502,3
503,5
504,1
505,5
506,1
507,2
508,1
509,3
510,2
511,5
512,6
513,3
514,3
515,6
516,6
517,3
518,2
519,5
520,3
521,5
522,3
523,1
524,2
525,3
526,2
527,2
528,3
529,3
530,2
531,4
532,2
533,4
534,1
535,4
536,1
537,3
538,1
539,6
540,3
541,6
542,3
543,1
544,1
545,2
546,1
547,3
548,2
549,3
550,3
551,3
552,3
553,3
554,2
555,1
556,3
557,3
558,5
559,3
560,1
561,4
562,2
563,3
564,2
565,1
566,4
567,3
568,6
569,2
570,3
571,2
572,2
573,6
574,3
575,1
576,4
577,1
578,5
579,3
580,1
581,1
582,3
583,1
584,5
585,2
586,1
587,5
588,5
589,5
590,2
591,5
592,5
593,2
594,2
595,3
596,6
597,1
598,3
599,3
600,1
601,6
602,1
603,3
604,1
605,3
606,2
607,3
608,3
609,6
610,1
611,1
612,2
613,2
614,3
615,3
616,4
617,2
618,3
619,1
620,2
621,6
622,3
623,2
624,3
625,2
626,3
627,6
628,2
629,2
630,1
631,2
632,3
633,6
634,3
635,3
636,2
637,1
638,1
639,3
640,6
641,2
642,3
643,1
644,3
645,3
646,2
647,3
648,2
649,1
650,6
651,2
652,1
653,6
654,5
655,2
656,2
657,6
658,5
659,6
660,1
661,5
662,2
663,1
664,3
665,3
666,2
667,3
668,1
669,4
670,1
671,4
672,1
673,6
674,3
675,3
676,1
677,2
678,5
679,3
680,3
681,5
682,1
683,3
684,1
685,3
686,3
687,1
688,2
689,3
690,2
691,3
692,3
693,1
694,5
695,5
696,3
697,5
698,1
699,3
700,2
701,2
702,6
703,4
704,1
705,3
706,2
707,1
708,1
709,3
710,4
711,2
712,2
713,6
714,2
715,3
716,3
717,3
718,3
719,2
720,2
721,3
722,3
723,2
724,4
725,3
726,3
727,1
728,3
729,4
730,5
731,3
732,2
733,1
734,3
735,4
736,3
737,5
738,4
739,2
740,4
741,3
742,1
743,1
744,2
745,5
746,1
747,3
748,1
749,6
750,3
751,2
752,1
753,3
754,2
755,2
756,3
757,1
758,1
759,1
760,4
761,3
762,3
763,3
764,3
765,3
766,3
767,6
768,1
769,2
770,1
771,2
772,3
773,5
774,3
775,4
776,2
777,3
778,6
779,2
780,4
781,1
782,3
783,3
784,1
785,2
786,2
787,5
788,1
789,3
790,2
791,1
792,6
793,3
794,2
795,1
796,3
797,1
798,2
799,3
800,5
801,3
802,2
803,2
804,6
805,1
806,4
807,2
808,1
809,2
810,3
811,3
812,3
813,3
814,1
815,2
816,2
817,2
818,3
819,4
820,2
821,1
822,4
823,1
824,2
825,6
826,3
827,1
828,3
829,6
830,1
831,3
832,1
833,1
834,3
835,2
836,1
837,1
838,3
839,3
840,3
841,4
842,1
843,3
844,3
845,3
846,4
847,3
848,6
849,3
850,5
851,1
852,6
853,3
854,2
855,2
856,1
857,3
858,1
859,1
860,1
861,2
862,1
863,4
864,4
865,1
866,1
867,2
868,3
869,3
870,1
871,1
872,3
873,1
874,2
875,2
876,2
877,2
878,4
879,5
880,1
881,2
882,5
883,2
884,2
885,5
886,3
887,3
888,6
889,2
890,2
891,3
892,3
893,3
894,5
895,3
896,3
897,2
898,2
899,3
900,5
901,1
902,3
903,2
904,2
905,5
906,3
907,1
908,1
909,1
910,1
911,5
912,1
913,6
914,3
915,2
916,3
917,3
918,1
919,1
920,6
921,3
922,2
923,2
924,1
925,2
926,2
927,4
928,1
929,1
930,3
931,3
932,2
933,1
934,2
935,3
936,2
937,3
938,1
939,3
940,3
941,2
942,3
943,1
944,3
945,4
946,3
947,6
948,2
